"status","label","title","authors","URL"
,"javascript","Eloquent Javascript: A Modern Introduction to Programming","Marijn Haverbeke",
,"css","CSS – The Definitive Guide ","Eric A. Meyer, Estelle Weyl ",
"done","html","HTML and CSS design and build websites","Jon Duckett ",
"done","javascript","Javascript and Jquery","Jon Duckett ",
,"javascript","JavaScript The Definitive Guide Master the Worlds Most-Used Programming Language ","David Flanagan",
,"javascript","Full Stack JavaScript Learn Backbone.js, Node.js, and MongoDB","Azat Mardan",
,"css","CSS Secrets: Better Solutions to Everyday Web Design Problems","Lea Verou",
,"css","CSS in Depth","Keith J. Grant",
,"django","Tango with Django","Leif Azzopardi and David Maxwell",
,"django","Django by Example","Antonio Melé",
,"react","Learning React: Functional Web Development with React and Redux"," Alex Banks,  Eve Porcello ",
,"react","The Road to React: Your journey to master plain yet pragmatic React.js","Rob Author)   ",
,"react","React in Action"," Mark Tielens Thomas",
,"react","Learn React Hooks: Build and refactor modern React.js applications using Hooks"," Daniel Bugl",
,"flask","Flask Programming: The Ultimate Beginner's Guide to Learn flask framework Step by Step","Bach, John ",
,"flask","Flask Web Development: Developing Web Applications with Python","Grinberg, Miguel ",
,"flask","The New And Improved Flask Mega-Tutorial","Grinberg, Miguel ",
